locationId,odsCode,name,region,localAuthority,postalCode,onspdIcbCode,onspdIcbName,registrationStatus,overallRating,overallReportDate,safeRating,effectiveRating,caringRating,responsiveRating,well-ledRating
1-10006311414,P91604,St Johns Medical Centre,North West,Trafford,WA14 1PF,E54000057,NHS Greater Manchester Integrated Care Board,Registered,Good,2023-02-28,Good,Good,Good,Good,Good
1-10011093419,B85042,Paddock and Longwood Family Practice,Yorkshire & Humberside,Kirklees,HD1 4TS,E54000054,NHS West Yorkshire Integrated Care Board,Registered,Good,2022-09-01,Good,Good,Good,Good,Good
1-10012064243,P82613,Springview Medical Centre,North West,Bolton,BL3 1HQ,E54000057,NHS Greater Manchester Integrated Care Board,Registered,Good,2021-10-06,Good,Good,Good,Good,Good
1-10012177836,F81729,Matching Green Surgery,East,Essex,SS14 2PB,E54000066,NHS Essex Integrated Care Board,Registered,,,,,,,
1-10015733020,E87066,Fitzrovia Medical Centre,London,Camden,W1T 6EU,E54000071,NHS West and North London Integrated Care Board,Registered,Good,2024-01-03,Good,Good,Good,Requires improvement,Good
1-10017209067,M83625001,Prima Care Surgeries Foden Street Branch Site,West Midlands,Stoke-on-Trent,ST4 4BX,E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,Registered,Good,2022-04-12,Good,Good,Good,Good,Good
1-10048396988,G82217,Harbour Medical Practice,South East,Kent,CT20 1JY,E54000032,NHS Kent and Medway Integrated Care Board,Registered,Good,2017-11-17,Good,Good,Good,Good,Good
1-1004909835,C81057,Willington Surgery,East Midlands,Derbyshire,DE65 6QT,E54000058,NHS Derby and Derbyshire Integrated Care Board,Registered,,,,,,,
1-10085774795,C83083,The New Coningsby Surgery,East Midlands,Lincolnshire,LN4 4SG,E54000013,NHS Lincolnshire Integrated Care Board,Registered,Good,2022-07-25,Good,Good,Good,Good,Good
1-10127416740,E85041,Dr S Bassi & Associates Ltd,London,Ealing,W7 1DR,E54000071,NHS West and North London Integrated Care Board,Registered,,,,,,,
1-10132218916,L82025,Mevagissey Surgery,South West,Cornwall,PL26 6UE,E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,Registered,Good,2022-06-16,Good,Good,Good,Good,Good
1-10171769695,G81048,Carisbrooke Surgery,South East,East Sussex,TN38 8BL,E54000069,NHS Surrey and Sussex Integrated Care Board,Registered,Good,2017-01-10,Good,Good,Good,Good,Good
1-10178239555,C86626,Park View Surgery,Yorkshire & Humberside,Doncaster,DN5 8DA,E54000061,NHS South Yorkshire Integrated Care Board,Registered,Outstanding,2022-07-21,Good,Good,Outstanding,Outstanding,Good
1-10193783923,Y00445,SPCT Practices,North West,Salford,M28 0BB,E54000057,NHS Greater Manchester Integrated Care Board,Registered,Good,2023-09-28,Good,Good,Good,Good,Good
1-10210803891,B85020,Eightlands Surgery,Yorkshire & Humberside,Kirklees,WF13 1HN,E54000054,NHS West Yorkshire Integrated Care Board,Registered,Good,2022-08-23,Good,Good,Good,Good,Good
1-10211192128,M82006,Riverside Medical Practice,West Midlands,Shropshire,SY1 1QJ,E54000011,"NHS Shropshire, Telford and Wrekin Integrated Care Board",Registered,Good,2023-07-28,Good,Good,Good,Requires improvement,Good
1-10240491798,M85145,The Slieve Surgery,West Midlands,Birmingham,B20 2NR,E54000055,NHS Birmingham and Solihull Integrated Care Board,Registered,Good,2024-02-16,Good,Good,Good,Good,Good
1-10242251005,D83030,Kirkley Mill Surgery,East,Suffolk,NR33 0HF,E54000068,NHS Norfolk and Suffolk Integrated Care Board,Registered,Good,2021-08-18,Good,Good,Good,Good,Good
1-1025130100,B87044,Alverthorpe Surgery,Yorkshire & Humberside,Wakefield,WF2 0DP,E54000054,NHS West Yorkshire Integrated Care Board,Registered,Good,2016-12-14,Good,Good,Good,Good,Good
1-10278105858,G82648,Rochester Road Surgery,South East,Kent,DA12 2HU,E54000032,NHS Kent and Medway Integrated Care Board,Registered,,,,,,,
