AreaCode,AreaName,CategoryAttribute,Denominator,Factor,HighestPriorityNotificationType,IndicatorCode,IndicatorName,IndicatorShortName,LowerConfidenceLimit,MetricCategoryName,MetricCategoryTypeName,NotificationCount,Numerator,TimePeriodName,UpperConfidenceLimit,Value,ValueNote
E40000013,East of England,Persons,5801685.0,,,CVDP001AF,Prevalence of GP recorded atrial fibrillation,AF: Prevalence (CVDP001AF),2.81,Persons,Sex,0,163680.0,To March 2026,2.83,2.82,
E40000013,East of England,Female,2923610.0,,,CVDP001AF,Prevalence of GP recorded atrial fibrillation,AF: Prevalence (CVDP001AF),2.27,Female,Sex,0,66990.0,To March 2026,2.31,2.29,
E40000013,East of England,Male,2878075.0,,,CVDP001AF,Prevalence of GP recorded atrial fibrillation,AF: Prevalence (CVDP001AF),3.34,Male,Sex,0,96690.0,To March 2026,3.38,3.36,
E40000013,East of England,Male,1031420.0,,,CVDP001AF,Prevalence of GP recorded atrial fibrillation,AF: Prevalence (CVDP001AF),0.1,18-39,Age group,0,1105.0,To March 2026,0.11,0.11,
E40000013,East of England,Female,996770.0,,,CVDP001AF,Prevalence of GP recorded atrial fibrillation,AF: Prevalence (CVDP001AF),0.04,18-39,Age group,0,395.0,To March 2026,0.04,0.04,
E40000013,East of England,Persons,2028195.0,,,CVDP001AF,Prevalence of GP recorded atrial fibrillation,AF: Prevalence (CVDP001AF),0.07,18-39,Age group,0,1500.0,To March 2026,0.08,0.07,
E40000013,East of England,Male,971635.0,,,CVDP001AF,Prevalence of GP recorded atrial fibrillation,AF: Prevalence (CVDP001AF),0.92,40-59,Age group,0,9145.0,To March 2026,0.96,0.94,
E40000013,East of England,Female,942075.0,,,CVDP001AF,Prevalence of GP recorded atrial fibrillation,AF: Prevalence (CVDP001AF),0.35,40-59,Age group,0,3455.0,To March 2026,0.38,0.37,
E40000013,East of England,Persons,1913710.0,,,CVDP001AF,Prevalence of GP recorded atrial fibrillation,AF: Prevalence (CVDP001AF),0.65,40-59,Age group,0,12600.0,To March 2026,0.67,0.66,
E40000013,East of England,Male,704995.0,,,CVDP001AF,Prevalence of GP recorded atrial fibrillation,AF: Prevalence (CVDP001AF),6.9,60-79,Age group,0,49085.0,To March 2026,7.02,6.96,
