AreaCode,AreaName,CategoryAttribute,Denominator,Factor,HighestPriorityNotificationType,IndicatorCode,IndicatorName,IndicatorShortName,LowerConfidenceLimit,MetricCategoryName,MetricCategoryTypeName,NotificationCount,Numerator,TimePeriodName,UpperConfidenceLimit,Value,ValueNote
E92000001,England,Persons,50732999.0,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),6.66,Persons,Sex,0,3381627.0,To March 2026,6.67,6.67,
E92000001,England,Female,25448392.0,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),5.16,Female,Sex,0,1315131.0,To March 2026,5.18,5.17,
E92000001,England,Male,25284607.0,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),8.16,Male,Sex,0,2066496.0,To March 2026,8.18,8.17,
E92000001,England,Male,9672347.0,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),0.24,18-39,Age group,0,23844.0,To March 2026,0.25,0.25,
E92000001,England,Female,9406656.0,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),0.17,18-39,Age group,0,16156.0,To March 2026,0.17,0.17,
E92000001,England,Persons,19079003.0,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),0.21,18-39,Age group,0,40000.0,To March 2026,0.21,0.21,
E92000001,England,Male,8365150.0,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),3.75,40-59,Age group,0,314458.0,To March 2026,3.77,3.76,
E92000001,England,Female,7951447.0,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),1.87,40-59,Age group,0,149581.0,To March 2026,1.89,1.88,
E92000001,England,Persons,16316597.0,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),2.84,40-59,Age group,0,464039.0,To March 2026,2.85,2.84,
E92000001,England,Male,5916506.0,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),20.09,60-79,Age group,0,1190375.0,To March 2026,20.15,20.12,
