AreaCode,AreaName,CategoryAttribute,Denominator,Factor,HighestPriorityNotificationType,IndicatorCode,IndicatorName,IndicatorShortName,LowerConfidenceLimit,MetricCategoryName,MetricCategoryTypeName,NotificationCount,Numerator,TimePeriodName,UpperConfidenceLimit,Value,ValueNote
E40000013,East of England,Persons,5801685.0,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),6.61,Persons,Sex,0,384665.0,To March 2026,6.65,6.63,
E40000013,East of England,Female,2923610.0,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),5.04,Female,Sex,0,148145.0,To March 2026,5.09,5.07,
E40000013,East of England,Male,2878075.0,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),8.19,Male,Sex,0,236520.0,To March 2026,8.25,8.22,
E40000013,East of England,Male,1031420.0,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),0.24,18-39,Age group,0,2615.0,To March 2026,0.26,0.25,
E40000013,East of England,Female,996770.0,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),0.18,18-39,Age group,0,1850.0,To March 2026,0.19,0.19,
E40000013,East of England,Persons,2028195.0,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),0.21,18-39,Age group,0,4470.0,To March 2026,0.23,0.22,
E40000013,East of England,Male,971635.0,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),3.55,40-59,Age group,0,34860.0,To March 2026,3.62,3.59,
E40000013,East of England,Female,942075.0,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),1.74,40-59,Age group,0,16660.0,To March 2026,1.8,1.77,
E40000013,East of England,Persons,1913710.0,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),2.67,40-59,Age group,0,51520.0,To March 2026,2.72,2.69,
E40000013,East of England,Male,704995.0,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),18.73,60-79,Age group,0,132720.0,To March 2026,18.92,18.83,
E40000013,East of England,Female,752050.0,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),8.97,60-79,Age group,0,67910.0,To March 2026,9.1,9.03,
E40000013,East of England,Persons,1457045.0,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),13.71,60-79,Age group,0,200635.0,To March 2026,13.83,13.77,
E40000013,East of England,Male,170025.0,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),38.78,80+,Age group,0,66320.0,To March 2026,39.24,39.01,
E40000013,East of England,Female,232715.0,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),26.34,80+,Age group,0,61720.0,To March 2026,26.7,26.52,
E40000013,East of England,Persons,402740.0,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),31.65,80+,Age group,0,128045.0,To March 2026,31.94,31.79,
E40000013,East of England,Persons,566280.0,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),6.79,1 - most deprived,Deprivation quintile,0,38800.0,To March 2026,6.92,6.85,
E40000013,East of England,Persons,974695.0,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),7.09,2,Deprivation quintile,0,69620.0,To March 2026,7.19,7.14,
E40000013,East of England,Persons,1317470.0,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),7.53,3,Deprivation quintile,0,99825.0,To March 2026,7.62,7.58,
E40000013,East of England,Persons,1168940.0,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),7.32,4,Deprivation quintile,0,86105.0,To March 2026,7.41,7.37,
E40000013,East of England,Persons,1317755.0,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),6.85,5 - least deprived,Deprivation quintile,0,90845.0,To March 2026,6.94,6.89,
E40000013,East of England,Female,,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),4.54,Female,Sex - Age Standardised,0,,To March 2026,4.59,4.57,Numerators and Denominators are not provided for Age Standardisation.
E40000013,East of England,Male,,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),8.57,Male,Sex - Age Standardised,0,,To March 2026,8.64,8.61,Numerators and Denominators are not provided for Age Standardisation.
E40000013,East of England,Persons,,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),6.46,Persons,Sex - Age Standardised,0,,To March 2026,6.5,6.48,Numerators and Denominators are not provided for Age Standardisation.
E40000013,East of England,Persons,,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),8.56,1 - most deprived,Deprivation quintile - Age Standardised,0,,To March 2026,8.73,8.65,Numerators and Denominators are not provided for Age Standardisation.
E40000013,East of England,Persons,,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),7.39,2,Deprivation quintile - Age Standardised,0,,To March 2026,7.51,7.45,Numerators and Denominators are not provided for Age Standardisation.
E40000013,East of England,Persons,,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),6.66,3,Deprivation quintile - Age Standardised,0,,To March 2026,6.75,6.7,Numerators and Denominators are not provided for Age Standardisation.
E40000013,East of England,Persons,,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),6.15,4,Deprivation quintile - Age Standardised,0,,To March 2026,6.24,6.19,Numerators and Denominators are not provided for Age Standardisation.
E40000013,East of England,Persons,,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),5.72,5 - least deprived,Deprivation quintile - Age Standardised,0,,To March 2026,5.79,5.75,Numerators and Denominators are not provided for Age Standardisation.
E40000003,London,Persons,8955795.0,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),4.11,Persons,Sex,0,369345.0,To March 2026,4.14,4.12,
