AreaCode,AreaName,CategoryAttribute,Denominator,Factor,HighestPriorityNotificationType,IndicatorCode,IndicatorName,IndicatorShortName,LowerConfidenceLimit,MetricCategoryName,MetricCategoryTypeName,NotificationCount,Numerator,TimePeriodName,UpperConfidenceLimit,Value,ValueNote
E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Persons,23625.0,,,CVDP001SMOK,"Patients with GP recorded CVD or CVD risk factors who are GP recorded current smokers or have no smoking status recorded, whose notes record smoking status in the preceding 12 months.",Smoking: Record of smoking status (CVDP001SMOK),76.07,Persons,Sex,0,18100.0,To March 2026,77.15,76.62,
E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Female,10130.0,,,CVDP001SMOK,"Patients with GP recorded CVD or CVD risk factors who are GP recorded current smokers or have no smoking status recorded, whose notes record smoking status in the preceding 12 months.",Smoking: Record of smoking status (CVDP001SMOK),78.29,Female,Sex,0,8010.0,To March 2026,79.87,79.09,
E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Male,13495.0,,,CVDP001SMOK,"Patients with GP recorded CVD or CVD risk factors who are GP recorded current smokers or have no smoking status recorded, whose notes record smoking status in the preceding 12 months.",Smoking: Record of smoking status (CVDP001SMOK),74.03,Male,Sex,0,10090.0,To March 2026,75.49,74.76,
E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Male,940.0,,,CVDP001SMOK,"Patients with GP recorded CVD or CVD risk factors who are GP recorded current smokers or have no smoking status recorded, whose notes record smoking status in the preceding 12 months.",Smoking: Record of smoking status (CVDP001SMOK),50.85,18-39,Age group,0,505.0,To March 2026,57.11,53.99,
E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Female,770.0,,,CVDP001SMOK,"Patients with GP recorded CVD or CVD risk factors who are GP recorded current smokers or have no smoking status recorded, whose notes record smoking status in the preceding 12 months.",Smoking: Record of smoking status (CVDP001SMOK),66.45,18-39,Age group,0,535.0,To March 2026,72.93,69.83,
E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Persons,1710.0,,,CVDP001SMOK,"Patients with GP recorded CVD or CVD risk factors who are GP recorded current smokers or have no smoking status recorded, whose notes record smoking status in the preceding 12 months.",Smoking: Record of smoking status (CVDP001SMOK),58.8,18-39,Age group,0,1045.0,To March 2026,63.41,61.12,
E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Male,5160.0,,,CVDP001SMOK,"Patients with GP recorded CVD or CVD risk factors who are GP recorded current smokers or have no smoking status recorded, whose notes record smoking status in the preceding 12 months.",Smoking: Record of smoking status (CVDP001SMOK),69.48,40-59,Age group,0,3650.0,To March 2026,71.96,70.74,
E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Female,3520.0,,,CVDP001SMOK,"Patients with GP recorded CVD or CVD risk factors who are GP recorded current smokers or have no smoking status recorded, whose notes record smoking status in the preceding 12 months.",Smoking: Record of smoking status (CVDP001SMOK),77.09,40-59,Age group,0,2760.0,To March 2026,79.78,78.46,
E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Persons,8675.0,,,CVDP001SMOK,"Patients with GP recorded CVD or CVD risk factors who are GP recorded current smokers or have no smoking status recorded, whose notes record smoking status in the preceding 12 months.",Smoking: Record of smoking status (CVDP001SMOK),72.94,40-59,Age group,0,6410.0,To March 2026,74.78,73.87,
E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Male,6645.0,,,CVDP001SMOK,"Patients with GP recorded CVD or CVD risk factors who are GP recorded current smokers or have no smoking status recorded, whose notes record smoking status in the preceding 12 months.",Smoking: Record of smoking status (CVDP001SMOK),79.16,60-79,Age group,0,5325.0,To March 2026,81.07,80.13,
