AreaCode,AreaName,CategoryAttribute,Denominator,Factor,HighestPriorityNotificationType,IndicatorCode,IndicatorName,IndicatorShortName,LowerConfidenceLimit,MetricCategoryName,MetricCategoryTypeName,NotificationCount,Numerator,TimePeriodName,UpperConfidenceLimit,Value,ValueNote
E92000001,England,Persons,1610033.0,,,CVDP002SMOK,"Patients with GP recorded CVD or CVD risk factors who are GP recorded current smokers, who have a record of an offer of support or treatment within the preceding 12 months.",Smoking: Current smokers offered support/treatment (CVDP002SMOK),76.17,Persons,Sex,0,1227400.0,To March 2026,76.3,76.23,
E92000001,England,Female,660518.0,,,CVDP002SMOK,"Patients with GP recorded CVD or CVD risk factors who are GP recorded current smokers, who have a record of an offer of support or treatment within the preceding 12 months.",Smoking: Current smokers offered support/treatment (CVDP002SMOK),77.47,Female,Sex,0,512385.0,To March 2026,77.67,77.57,
E92000001,England,Male,949515.0,,,CVDP002SMOK,"Patients with GP recorded CVD or CVD risk factors who are GP recorded current smokers, who have a record of an offer of support or treatment within the preceding 12 months.",Smoking: Current smokers offered support/treatment (CVDP002SMOK),75.22,Male,Sex,0,715015.0,To March 2026,75.39,75.3,
E92000001,England,Male,63814.0,,,CVDP002SMOK,"Patients with GP recorded CVD or CVD risk factors who are GP recorded current smokers, who have a record of an offer of support or treatment within the preceding 12 months.",Smoking: Current smokers offered support/treatment (CVDP002SMOK),67.67,18-39,Age group,0,43412.0,To March 2026,68.39,68.03,
E92000001,England,Female,41160.0,,,CVDP002SMOK,"Patients with GP recorded CVD or CVD risk factors who are GP recorded current smokers, who have a record of an offer of support or treatment within the preceding 12 months.",Smoking: Current smokers offered support/treatment (CVDP002SMOK),72.29,18-39,Age group,0,29934.0,To March 2026,73.15,72.73,
E92000001,England,Persons,104974.0,,,CVDP002SMOK,"Patients with GP recorded CVD or CVD risk factors who are GP recorded current smokers, who have a record of an offer of support or treatment within the preceding 12 months.",Smoking: Current smokers offered support/treatment (CVDP002SMOK),69.59,18-39,Age group,0,73346.0,To March 2026,70.15,69.87,
E92000001,England,Male,402723.0,,,CVDP002SMOK,"Patients with GP recorded CVD or CVD risk factors who are GP recorded current smokers, who have a record of an offer of support or treatment within the preceding 12 months.",Smoking: Current smokers offered support/treatment (CVDP002SMOK),73.69,40-59,Age group,0,297303.0,To March 2026,73.96,73.82,
E92000001,England,Female,239993.0,,,CVDP002SMOK,"Patients with GP recorded CVD or CVD risk factors who are GP recorded current smokers, who have a record of an offer of support or treatment within the preceding 12 months.",Smoking: Current smokers offered support/treatment (CVDP002SMOK),77.31,40-59,Age group,0,185938.0,To March 2026,77.64,77.48,
E92000001,England,Persons,642716.0,,,CVDP002SMOK,"Patients with GP recorded CVD or CVD risk factors who are GP recorded current smokers, who have a record of an offer of support or treatment within the preceding 12 months.",Smoking: Current smokers offered support/treatment (CVDP002SMOK),75.08,40-59,Age group,0,483241.0,To March 2026,75.29,75.19,
E92000001,England,Male,436811.0,,,CVDP002SMOK,"Patients with GP recorded CVD or CVD risk factors who are GP recorded current smokers, who have a record of an offer of support or treatment within the preceding 12 months.",Smoking: Current smokers offered support/treatment (CVDP002SMOK),77.76,60-79,Age group,0,340215.0,To March 2026,78.01,77.89,
E92000001,England,Female,328170.0,,,CVDP002SMOK,"Patients with GP recorded CVD or CVD risk factors who are GP recorded current smokers, who have a record of an offer of support or treatment within the preceding 12 months.",Smoking: Current smokers offered support/treatment (CVDP002SMOK),78.85,60-79,Age group,0,259212.0,To March 2026,79.13,78.99,
E92000001,England,Persons,764981.0,,,CVDP002SMOK,"Patients with GP recorded CVD or CVD risk factors who are GP recorded current smokers, who have a record of an offer of support or treatment within the preceding 12 months.",Smoking: Current smokers offered support/treatment (CVDP002SMOK),78.27,60-79,Age group,0,599427.0,To March 2026,78.45,78.36,
E92000001,England,Male,46167.0,,,CVDP002SMOK,"Patients with GP recorded CVD or CVD risk factors who are GP recorded current smokers, who have a record of an offer of support or treatment within the preceding 12 months.",Smoking: Current smokers offered support/treatment (CVDP002SMOK),73.43,80+,Age group,0,34085.0,To March 2026,74.23,73.83,
E92000001,England,Female,51195.0,,,CVDP002SMOK,"Patients with GP recorded CVD or CVD risk factors who are GP recorded current smokers, who have a record of an offer of support or treatment within the preceding 12 months.",Smoking: Current smokers offered support/treatment (CVDP002SMOK),72.47,80+,Age group,0,37301.0,To March 2026,73.24,72.86,
E92000001,England,Persons,97362.0,,,CVDP002SMOK,"Patients with GP recorded CVD or CVD risk factors who are GP recorded current smokers, who have a record of an offer of support or treatment within the preceding 12 months.",Smoking: Current smokers offered support/treatment (CVDP002SMOK),73.04,80+,Age group,0,71386.0,To March 2026,73.6,73.32,
E92000001,England,Persons,522815.0,,,CVDP002SMOK,"Patients with GP recorded CVD or CVD risk factors who are GP recorded current smokers, who have a record of an offer of support or treatment within the preceding 12 months.",Smoking: Current smokers offered support/treatment (CVDP002SMOK),78.3,1 - most deprived,Deprivation quintile,0,409937.0,To March 2026,78.52,78.41,
E92000001,England,Persons,386504.0,,,CVDP002SMOK,"Patients with GP recorded CVD or CVD risk factors who are GP recorded current smokers, who have a record of an offer of support or treatment within the preceding 12 months.",Smoking: Current smokers offered support/treatment (CVDP002SMOK),77.04,2,Deprivation quintile,0,298268.0,To March 2026,77.3,77.17,
E92000001,England,Persons,300185.0,,,CVDP002SMOK,"Patients with GP recorded CVD or CVD risk factors who are GP recorded current smokers, who have a record of an offer of support or treatment within the preceding 12 months.",Smoking: Current smokers offered support/treatment (CVDP002SMOK),75.19,3,Deprivation quintile,0,226181.0,To March 2026,75.5,75.35,
E92000001,England,Persons,234375.0,,,CVDP002SMOK,"Patients with GP recorded CVD or CVD risk factors who are GP recorded current smokers, who have a record of an offer of support or treatment within the preceding 12 months.",Smoking: Current smokers offered support/treatment (CVDP002SMOK),73.85,4,Deprivation quintile,0,173495.0,To March 2026,74.2,74.02,
E92000001,England,Persons,165763.0,,,CVDP002SMOK,"Patients with GP recorded CVD or CVD risk factors who are GP recorded current smokers, who have a record of an offer of support or treatment within the preceding 12 months.",Smoking: Current smokers offered support/treatment (CVDP002SMOK),71.72,5 - least deprived,Deprivation quintile,0,119248.0,To March 2026,72.15,71.94,
E92000001,England,Persons,123195.0,,,CVDP002SMOK,"Patients with GP recorded CVD or CVD risk factors who are GP recorded current smokers, who have a record of an offer of support or treatment within the preceding 12 months.",Smoking: Current smokers offered support/treatment (CVDP002SMOK),76.66,Asian,Ethnicity,0,94732.0,To March 2026,77.13,76.9,
E92000001,England,Persons,57759.0,,,CVDP002SMOK,"Patients with GP recorded CVD or CVD risk factors who are GP recorded current smokers, who have a record of an offer of support or treatment within the preceding 12 months.",Smoking: Current smokers offered support/treatment (CVDP002SMOK),74.73,Black,Ethnicity,0,43365.0,To March 2026,75.43,75.08,
E92000001,England,Persons,28593.0,,,CVDP002SMOK,"Patients with GP recorded CVD or CVD risk factors who are GP recorded current smokers, who have a record of an offer of support or treatment within the preceding 12 months.",Smoking: Current smokers offered support/treatment (CVDP002SMOK),66.84,Missing,Ethnicity,0,19267.0,To March 2026,67.92,67.38,
E92000001,England,Persons,23020.0,,,CVDP002SMOK,"Patients with GP recorded CVD or CVD risk factors who are GP recorded current smokers, who have a record of an offer of support or treatment within the preceding 12 months.",Smoking: Current smokers offered support/treatment (CVDP002SMOK),74.13,Mixed,Ethnicity,0,17194.0,To March 2026,75.25,74.69,
E92000001,England,Persons,51318.0,,,CVDP002SMOK,"Patients with GP recorded CVD or CVD risk factors who are GP recorded current smokers, who have a record of an offer of support or treatment within the preceding 12 months.",Smoking: Current smokers offered support/treatment (CVDP002SMOK),69.57,Not stated,Ethnicity,0,35908.0,To March 2026,70.37,69.97,
E92000001,England,Persons,33842.0,,,CVDP002SMOK,"Patients with GP recorded CVD or CVD risk factors who are GP recorded current smokers, who have a record of an offer of support or treatment within the preceding 12 months.",Smoking: Current smokers offered support/treatment (CVDP002SMOK),76.7,Other,Ethnicity,0,26109.0,To March 2026,77.59,77.15,
E92000001,England,Persons,1292306.0,,,CVDP002SMOK,"Patients with GP recorded CVD or CVD risk factors who are GP recorded current smokers, who have a record of an offer of support or treatment within the preceding 12 months.",Smoking: Current smokers offered support/treatment (CVDP002SMOK),76.6,White,Ethnicity,0,990825.0,To March 2026,76.74,76.67,
E92000001,England,Persons,1538054.0,,,CVDP002SMOK,"Patients with GP recorded CVD or CVD risk factors who are GP recorded current smokers, who have a record of an offer of support or treatment within the preceding 12 months.",Smoking: Current smokers offered support/treatment (CVDP002SMOK),75.81,People without SMI,Mental Health,0,1166992.0,To March 2026,75.94,75.87,
E92000001,England,Persons,71979.0,,,CVDP002SMOK,"Patients with GP recorded CVD or CVD risk factors who are GP recorded current smokers, who have a record of an offer of support or treatment within the preceding 12 months.",Smoking: Current smokers offered support/treatment (CVDP002SMOK),83.65,People with SMI,Mental Health,0,60408.0,To March 2026,84.19,83.92,
E92000001,England,Persons,1600350.0,,,CVDP002SMOK,"Patients with GP recorded CVD or CVD risk factors who are GP recorded current smokers, who have a record of an offer of support or treatment within the preceding 12 months.",Smoking: Current smokers offered support/treatment (CVDP002SMOK),76.11,People without a diagnosed learning disability,Learning Disability,0,1219009.0,To March 2026,76.24,76.17,
