AreaCode,AreaName,CategoryAttribute,Denominator,Factor,HighestPriorityNotificationType,IndicatorCode,IndicatorName,IndicatorShortName,LowerConfidenceLimit,MetricCategoryName,MetricCategoryTypeName,NotificationCount,Numerator,TimePeriodName,UpperConfidenceLimit,Value,ValueNote
E92000001,England,Persons,9467291.0,,Red,CVDP007HYP,"Patients with GP recorded hypertension, whose last blood pressure reading is to the appropriate treatment threshold, in the preceding 12 months.",Hypertension: Treated to appropriate threshold (all ages) (CVDP007HYP),73.98,Persons,Sex,1,7007000.0,To March 2026,74.04,74.01,
E92000001,England,Female,4709755.0,,Red,CVDP007HYP,"Patients with GP recorded hypertension, whose last blood pressure reading is to the appropriate treatment threshold, in the preceding 12 months.",Hypertension: Treated to appropriate threshold (all ages) (CVDP007HYP),75.72,Female,Sex,1,3568103.0,To March 2026,75.8,75.76,
E92000001,England,Male,4757536.0,,Red,CVDP007HYP,"Patients with GP recorded hypertension, whose last blood pressure reading is to the appropriate treatment threshold, in the preceding 12 months.",Hypertension: Treated to appropriate threshold (all ages) (CVDP007HYP),72.24,Male,Sex,1,3438897.0,To March 2026,72.32,72.28,
E92000001,England,Male,128383.0,,Red,CVDP007HYP,"Patients with GP recorded hypertension, whose last blood pressure reading is to the appropriate treatment threshold, in the preceding 12 months.",Hypertension: Treated to appropriate threshold (all ages) (CVDP007HYP),50.03,18-39,Age group,1,64578.0,To March 2026,50.57,50.3,
E92000001,England,Female,115868.0,,Red,CVDP007HYP,"Patients with GP recorded hypertension, whose last blood pressure reading is to the appropriate treatment threshold, in the preceding 12 months.",Hypertension: Treated to appropriate threshold (all ages) (CVDP007HYP),60.98,18-39,Age group,1,70982.0,To March 2026,61.54,61.26,
E92000001,England,Persons,244251.0,,Red,CVDP007HYP,"Patients with GP recorded hypertension, whose last blood pressure reading is to the appropriate treatment threshold, in the preceding 12 months.",Hypertension: Treated to appropriate threshold (all ages) (CVDP007HYP),55.3,18-39,Age group,1,135560.0,To March 2026,55.7,55.5,
E92000001,England,Male,1265555.0,,Red,CVDP007HYP,"Patients with GP recorded hypertension, whose last blood pressure reading is to the appropriate treatment threshold, in the preceding 12 months.",Hypertension: Treated to appropriate threshold (all ages) (CVDP007HYP),59.83,40-59,Age group,1,758307.0,To March 2026,60.0,59.92,
E92000001,England,Female,1046261.0,,Red,CVDP007HYP,"Patients with GP recorded hypertension, whose last blood pressure reading is to the appropriate treatment threshold, in the preceding 12 months.",Hypertension: Treated to appropriate threshold (all ages) (CVDP007HYP),68.04,40-59,Age group,1,712787.0,To March 2026,68.22,68.13,
E92000001,England,Persons,2311816.0,,Red,CVDP007HYP,"Patients with GP recorded hypertension, whose last blood pressure reading is to the appropriate treatment threshold, in the preceding 12 months.",Hypertension: Treated to appropriate threshold (all ages) (CVDP007HYP),63.57,40-59,Age group,1,1471094.0,To March 2026,63.7,63.63,
E92000001,England,Male,2569065.0,,Red,CVDP007HYP,"Patients with GP recorded hypertension, whose last blood pressure reading is to the appropriate treatment threshold, in the preceding 12 months.",Hypertension: Treated to appropriate threshold (all ages) (CVDP007HYP),75.06,60-79,Age group,1,1929799.0,To March 2026,75.17,75.12,
E92000001,England,Female,2385253.0,,Red,CVDP007HYP,"Patients with GP recorded hypertension, whose last blood pressure reading is to the appropriate treatment threshold, in the preceding 12 months.",Hypertension: Treated to appropriate threshold (all ages) (CVDP007HYP),76.56,60-79,Age group,1,1827533.0,To March 2026,76.67,76.62,
E92000001,England,Persons,4954318.0,,Red,CVDP007HYP,"Patients with GP recorded hypertension, whose last blood pressure reading is to the appropriate treatment threshold, in the preceding 12 months.",Hypertension: Treated to appropriate threshold (all ages) (CVDP007HYP),75.8,60-79,Age group,1,3757332.0,To March 2026,75.88,75.84,
E92000001,England,Male,794533.0,,Red,CVDP007HYP,"Patients with GP recorded hypertension, whose last blood pressure reading is to the appropriate treatment threshold, in the preceding 12 months.",Hypertension: Treated to appropriate threshold (all ages) (CVDP007HYP),86.29,80+,Age group,1,686213.0,To March 2026,86.44,86.37,
E92000001,England,Female,1162373.0,,Red,CVDP007HYP,"Patients with GP recorded hypertension, whose last blood pressure reading is to the appropriate treatment threshold, in the preceding 12 months.",Hypertension: Treated to appropriate threshold (all ages) (CVDP007HYP),82.24,80+,Age group,1,956801.0,To March 2026,82.38,82.31,
E92000001,England,Persons,1956906.0,,Red,CVDP007HYP,"Patients with GP recorded hypertension, whose last blood pressure reading is to the appropriate treatment threshold, in the preceding 12 months.",Hypertension: Treated to appropriate threshold (all ages) (CVDP007HYP),83.91,80+,Age group,1,1643014.0,To March 2026,84.01,83.96,
E92000001,England,Persons,1786364.0,,Red,CVDP007HYP,"Patients with GP recorded hypertension, whose last blood pressure reading is to the appropriate treatment threshold, in the preceding 12 months.",Hypertension: Treated to appropriate threshold (all ages) (CVDP007HYP),71.79,1 - most deprived,Deprivation quintile,1,1283637.0,To March 2026,71.92,71.86,
E92000001,England,Persons,1874129.0,,Red,CVDP007HYP,"Patients with GP recorded hypertension, whose last blood pressure reading is to the appropriate treatment threshold, in the preceding 12 months.",Hypertension: Treated to appropriate threshold (all ages) (CVDP007HYP),73.18,2,Deprivation quintile,1,1372594.0,To March 2026,73.3,73.24,
E92000001,England,Persons,1951616.0,,Red,CVDP007HYP,"Patients with GP recorded hypertension, whose last blood pressure reading is to the appropriate treatment threshold, in the preceding 12 months.",Hypertension: Treated to appropriate threshold (all ages) (CVDP007HYP),73.98,3,Deprivation quintile,1,1445095.0,To March 2026,74.11,74.05,
E92000001,England,Persons,1970062.0,,Red,CVDP007HYP,"Patients with GP recorded hypertension, whose last blood pressure reading is to the appropriate treatment threshold, in the preceding 12 months.",Hypertension: Treated to appropriate threshold (all ages) (CVDP007HYP),74.85,4,Deprivation quintile,1,1475862.0,To March 2026,74.97,74.91,
E92000001,England,Persons,1882388.0,,Red,CVDP007HYP,"Patients with GP recorded hypertension, whose last blood pressure reading is to the appropriate treatment threshold, in the preceding 12 months.",Hypertension: Treated to appropriate threshold (all ages) (CVDP007HYP),75.8,5 - least deprived,Deprivation quintile,1,1427932.0,To March 2026,75.92,75.86,
E92000001,England,Persons,756450.0,,Red,CVDP007HYP,"Patients with GP recorded hypertension, whose last blood pressure reading is to the appropriate treatment threshold, in the preceding 12 months.",Hypertension: Treated to appropriate threshold (all ages) (CVDP007HYP),73.6,Asian,Ethnicity,1,557515.0,To March 2026,73.8,73.7,
E92000001,England,Persons,422865.0,,Red,CVDP007HYP,"Patients with GP recorded hypertension, whose last blood pressure reading is to the appropriate treatment threshold, in the preceding 12 months.",Hypertension: Treated to appropriate threshold (all ages) (CVDP007HYP),66.35,Black,Ethnicity,1,281162.0,To March 2026,66.63,66.49,
E92000001,England,Persons,161737.0,,Red,CVDP007HYP,"Patients with GP recorded hypertension, whose last blood pressure reading is to the appropriate treatment threshold, in the preceding 12 months.",Hypertension: Treated to appropriate threshold (all ages) (CVDP007HYP),65.88,Missing,Ethnicity,1,106926.0,To March 2026,66.34,66.11,
E92000001,England,Persons,97565.0,,Red,CVDP007HYP,"Patients with GP recorded hypertension, whose last blood pressure reading is to the appropriate treatment threshold, in the preceding 12 months.",Hypertension: Treated to appropriate threshold (all ages) (CVDP007HYP),66.46,Mixed,Ethnicity,1,65126.0,To March 2026,67.05,66.75,
E92000001,England,Persons,271026.0,,Red,CVDP007HYP,"Patients with GP recorded hypertension, whose last blood pressure reading is to the appropriate treatment threshold, in the preceding 12 months.",Hypertension: Treated to appropriate threshold (all ages) (CVDP007HYP),67.68,Not stated,Ethnicity,1,183911.0,To March 2026,68.03,67.86,
E92000001,England,Persons,115927.0,,Red,CVDP007HYP,"Patients with GP recorded hypertension, whose last blood pressure reading is to the appropriate treatment threshold, in the preceding 12 months.",Hypertension: Treated to appropriate threshold (all ages) (CVDP007HYP),70.16,Other,Ethnicity,1,81639.0,To March 2026,70.68,70.42,
E92000001,England,Persons,7641721.0,,Red,CVDP007HYP,"Patients with GP recorded hypertension, whose last blood pressure reading is to the appropriate treatment threshold, in the preceding 12 months.",Hypertension: Treated to appropriate threshold (all ages) (CVDP007HYP),74.96,White,Ethnicity,1,5730721.0,To March 2026,75.02,74.99,
E92000001,England,Persons,9325534.0,,Red,CVDP007HYP,"Patients with GP recorded hypertension, whose last blood pressure reading is to the appropriate treatment threshold, in the preceding 12 months.",Hypertension: Treated to appropriate threshold (all ages) (CVDP007HYP),73.98,People without SMI,Mental Health,1,6901796.0,To March 2026,74.04,74.01,
E92000001,England,Persons,141757.0,,Red,CVDP007HYP,"Patients with GP recorded hypertension, whose last blood pressure reading is to the appropriate treatment threshold, in the preceding 12 months.",Hypertension: Treated to appropriate threshold (all ages) (CVDP007HYP),73.99,People with SMI,Mental Health,1,105204.0,To March 2026,74.44,74.21,
E92000001,England,Persons,9427458.0,,Red,CVDP007HYP,"Patients with GP recorded hypertension, whose last blood pressure reading is to the appropriate treatment threshold, in the preceding 12 months.",Hypertension: Treated to appropriate threshold (all ages) (CVDP007HYP),73.97,People without a diagnosed learning disability,Learning Disability,1,6976497.0,To March 2026,74.03,74.0,
E92000001,England,Persons,39833.0,,Red,CVDP007HYP,"Patients with GP recorded hypertension, whose last blood pressure reading is to the appropriate treatment threshold, in the preceding 12 months.",Hypertension: Treated to appropriate threshold (all ages) (CVDP007HYP),76.16,People with a diagnosed learning disability,Learning Disability,1,30503.0,To March 2026,76.99,76.58,
