AreaCode,AreaName,CategoryAttribute,Denominator,Factor,HighestPriorityNotificationType,IndicatorCode,IndicatorName,IndicatorShortName,LowerConfidenceLimit,MetricCategoryName,MetricCategoryTypeName,NotificationCount,Numerator,TimePeriodName,UpperConfidenceLimit,Value,ValueNote
E40000013,East of England,Persons,330320.0,,,CVDP009CHOL,"Patients with GP recorded CVD (narrow definition), who are currently treated with lipid lowering therapy.",Cholesterol: CVD treated with LLT (CVDP009CHOL),85.53,Persons,Sex,0,282930.0,To March 2026,85.77,85.65,
E40000013,East of England,Female,125400.0,,,CVDP009CHOL,"Patients with GP recorded CVD (narrow definition), who are currently treated with lipid lowering therapy.",Cholesterol: CVD treated with LLT (CVDP009CHOL),80.69,Female,Sex,0,101455.0,To March 2026,81.12,80.91,
E40000013,East of England,Male,204920.0,,,CVDP009CHOL,"Patients with GP recorded CVD (narrow definition), who are currently treated with lipid lowering therapy.",Cholesterol: CVD treated with LLT (CVDP009CHOL),88.42,Male,Sex,0,181475.0,To March 2026,88.69,88.56,
E40000013,East of England,Male,1745.0,,,CVDP009CHOL,"Patients with GP recorded CVD (narrow definition), who are currently treated with lipid lowering therapy.",Cholesterol: CVD treated with LLT (CVDP009CHOL),45.63,18-39,Age group,0,835.0,To March 2026,50.26,47.94,
E40000013,East of England,Female,1315.0,,,CVDP009CHOL,"Patients with GP recorded CVD (narrow definition), who are currently treated with lipid lowering therapy.",Cholesterol: CVD treated with LLT (CVDP009CHOL),29.86,18-39,Age group,0,425.0,To March 2026,34.88,32.37,
E40000013,East of England,Persons,3060.0,,,CVDP009CHOL,"Patients with GP recorded CVD (narrow definition), who are currently treated with lipid lowering therapy.",Cholesterol: CVD treated with LLT (CVDP009CHOL),39.52,18-39,Age group,0,1260.0,To March 2026,42.98,41.26,
E40000013,East of England,Male,30900.0,,,CVDP009CHOL,"Patients with GP recorded CVD (narrow definition), who are currently treated with lipid lowering therapy.",Cholesterol: CVD treated with LLT (CVDP009CHOL),84.29,40-59,Age group,0,26175.0,To March 2026,85.1,84.7,
E40000013,East of England,Female,14380.0,,,CVDP009CHOL,"Patients with GP recorded CVD (narrow definition), who are currently treated with lipid lowering therapy.",Cholesterol: CVD treated with LLT (CVDP009CHOL),76.15,40-59,Age group,0,11050.0,To March 2026,77.53,76.85,
E40000013,East of England,Persons,45280.0,,,CVDP009CHOL,"Patients with GP recorded CVD (narrow definition), who are currently treated with lipid lowering therapy.",Cholesterol: CVD treated with LLT (CVDP009CHOL),81.85,40-59,Age group,0,37225.0,To March 2026,82.56,82.21,
E40000013,East of England,Male,115500.0,,,CVDP009CHOL,"Patients with GP recorded CVD (narrow definition), who are currently treated with lipid lowering therapy.",Cholesterol: CVD treated with LLT (CVDP009CHOL),91.62,60-79,Age group,0,106005.0,To March 2026,91.94,91.78,
E40000013,East of England,Female,59075.0,,,CVDP009CHOL,"Patients with GP recorded CVD (narrow definition), who are currently treated with lipid lowering therapy.",Cholesterol: CVD treated with LLT (CVDP009CHOL),87.47,60-79,Age group,0,51835.0,To March 2026,88.0,87.74,
E40000013,East of England,Persons,174575.0,,,CVDP009CHOL,"Patients with GP recorded CVD (narrow definition), who are currently treated with lipid lowering therapy.",Cholesterol: CVD treated with LLT (CVDP009CHOL),90.27,60-79,Age group,0,157840.0,To March 2026,90.55,90.41,
E40000013,East of England,Male,56775.0,,,CVDP009CHOL,"Patients with GP recorded CVD (narrow definition), who are currently treated with lipid lowering therapy.",Cholesterol: CVD treated with LLT (CVDP009CHOL),85.06,80+,Age group,0,48460.0,To March 2026,85.64,85.35,
E40000013,East of England,Female,50630.0,,,CVDP009CHOL,"Patients with GP recorded CVD (narrow definition), who are currently treated with lipid lowering therapy.",Cholesterol: CVD treated with LLT (CVDP009CHOL),74.96,80+,Age group,0,38145.0,To March 2026,75.71,75.34,
E40000013,East of England,Persons,107405.0,,,CVDP009CHOL,"Patients with GP recorded CVD (narrow definition), who are currently treated with lipid lowering therapy.",Cholesterol: CVD treated with LLT (CVDP009CHOL),80.39,80+,Age group,0,86600.0,To March 2026,80.87,80.63,
E40000013,East of England,Persons,33700.0,,,CVDP009CHOL,"Patients with GP recorded CVD (narrow definition), who are currently treated with lipid lowering therapy.",Cholesterol: CVD treated with LLT (CVDP009CHOL),85.68,1 - most deprived,Deprivation quintile,0,28995.0,To March 2026,86.42,86.05,
E40000013,East of England,Persons,59830.0,,,CVDP009CHOL,"Patients with GP recorded CVD (narrow definition), who are currently treated with lipid lowering therapy.",Cholesterol: CVD treated with LLT (CVDP009CHOL),85.35,2,Deprivation quintile,0,51235.0,To March 2026,85.91,85.63,
E40000013,East of England,Persons,85540.0,,,CVDP009CHOL,"Patients with GP recorded CVD (narrow definition), who are currently treated with lipid lowering therapy.",Cholesterol: CVD treated with LLT (CVDP009CHOL),85.22,3,Deprivation quintile,0,73100.0,To March 2026,85.69,85.45,
E40000013,East of England,Persons,73635.0,,,CVDP009CHOL,"Patients with GP recorded CVD (narrow definition), who are currently treated with lipid lowering therapy.",Cholesterol: CVD treated with LLT (CVDP009CHOL),85.5,4,Deprivation quintile,0,63145.0,To March 2026,86.0,85.75,
