Indicator ID,Indicator Name,Parent Code,Parent Name,Area Code,Area Name,Area Type,Sex,Age,Category Type,Category,Time period,Value,Lower CI 95.0 limit,Upper CI 95.0 limit,Lower CI 99.8 limit,Upper CI 99.8 limit,Count,Denominator,Value note,Recent Trend,Compared to England value or percentiles,Compared to percentiles,Time period Sortable,New data,Compared to goal,Time period range
90362,Healthy life expectancy at birth,,,E92000001,England,England,Male,All ages,,,2011 - 13,63.0,62.9,63.2,,,,,,,Not compared,Not compared,20110000,,,3y
90362,Healthy life expectancy at birth,,,E92000001,England,England,Female,All ages,,,2011 - 13,63.9,63.7,64.1,,,,,,,Not compared,Not compared,20110000,,,3y
90362,Healthy life expectancy at birth,E92000001,England,E92000001,England,England,Male,All ages,,,2011 - 13,63.0,62.9,63.2,,,,,,,Similar,Not compared,20110000,,,3y
90362,Healthy life expectancy at birth,E92000001,England,E92000001,England,England,Female,All ages,,,2011 - 13,63.9,63.7,64.1,,,,,,,Similar,Not compared,20110000,,,3y
90362,Healthy life expectancy at birth,E92000001,England,E54000008,NHS Cheshire and Merseyside Integrated Care Board - QYG,ICBs,Male,All ages,,,2011 - 13,61.3,60.6,62.0,,,,,,,Worse,Not compared,20110000,,,3y
90362,Healthy life expectancy at birth,E92000001,England,E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board - QNC,ICBs,Male,All ages,,,2011 - 13,62.2,60.8,63.5,,,,,,,Similar,Not compared,20110000,,,3y
90362,Healthy life expectancy at birth,E92000001,England,E54000011,"NHS Shropshire, Telford and Wrekin Integrated Care Board - QOC",ICBs,Male,All ages,,,2011 - 13,62.6,61.2,64.1,,,,,,,Similar,Not compared,20110000,,,3y
90362,Healthy life expectancy at birth,E92000001,England,E54000013,NHS Lincolnshire Integrated Care Board - QJM,ICBs,Male,All ages,,,2011 - 13,64.0,62.3,65.7,,,,,,,Similar,Not compared,20110000,,,3y
90362,Healthy life expectancy at birth,E92000001,England,E54000015,"NHS Leicester, Leicestershire and Rutland Integrated Care Board - QK1",ICBs,Male,All ages,,,2011 - 13,62.5,61.2,63.8,,,,,,,Similar,Not compared,20110000,,,3y
90362,Healthy life expectancy at birth,E92000001,England,E54000018,NHS Coventry and Warwickshire Integrated Care Board - QWU,ICBs,Male,All ages,,,2011 - 13,64.7,63.3,66.1,,,,,,,Better,Not compared,20110000,,,3y
90362,Healthy life expectancy at birth,E92000001,England,E54000019,NHS Herefordshire and Worcestershire Integrated Care Board - QGH,ICBs,Male,All ages,,,2011 - 13,65.9,64.6,67.2,,,,,,,Better,Not compared,20110000,,,3y
90362,Healthy life expectancy at birth,E92000001,England,E54000022,NHS Norfolk and Waveney Integrated Care Board - QMM,ICBs,Male,All ages,,,2011 - 13,64.5,63.1,65.9,,,,,,,Better,Not compared,20110000,,,3y
90362,Healthy life expectancy at birth,E92000001,England,E54000023,NHS Suffolk and North East Essex Integrated Care Board - QJG,ICBs,Male,All ages,,,2011 - 13,65.1,63.6,66.7,,,,,,,Better,Not compared,20110000,,,3y
90362,Healthy life expectancy at birth,E92000001,England,E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board - QHG",ICBs,Male,All ages,,,2011 - 13,63.4,62.1,64.7,,,,,,,Similar,Not compared,20110000,,,3y
90362,Healthy life expectancy at birth,E92000001,England,E54000025,NHS Hertfordshire and West Essex Integrated Care Board - QM7,ICBs,Male,All ages,,,2011 - 13,66.2,64.9,67.5,,,,,,,Better,Not compared,20110000,,,3y
90362,Healthy life expectancy at birth,E92000001,England,E54000026,NHS Mid and South Essex Integrated Care Board - QH8,ICBs,Male,All ages,,,2011 - 13,64.6,63.4,65.7,,,,,,,Better,Not compared,20110000,,,3y
90362,Healthy life expectancy at birth,E92000001,England,E54000027,NHS North West London Integrated Care Board - QRV,ICBs,Male,All ages,,,2011 - 13,63.9,62.9,64.9,,,,,,,Similar,Not compared,20110000,,,3y
90362,Healthy life expectancy at birth,E92000001,England,E54000028,NHS North Central London Integrated Care Board - QMJ,ICBs,Male,All ages,,,2011 - 13,63.8,62.5,65.1,,,,,,,Similar,Not compared,20110000,,,3y
90362,Healthy life expectancy at birth,E92000001,England,E54000029,NHS North East London Integrated Care Board - QMF,ICBs,Male,All ages,,,2011 - 13,60.8,59.7,62.0,,,,,,,Worse,Not compared,20110000,,,3y
90362,Healthy life expectancy at birth,E92000001,England,E54000030,NHS South East London Integrated Care Board - QKK,ICBs,Male,All ages,,,2011 - 13,63.8,62.7,65.0,,,,,,,Similar,Not compared,20110000,,,3y
90362,Healthy life expectancy at birth,E92000001,England,E54000031,NHS South West London Integrated Care Board - QWE,ICBs,Male,All ages,,,2011 - 13,65.2,63.9,66.4,,,,,,,Better,Not compared,20110000,,,3y
90362,Healthy life expectancy at birth,E92000001,England,E54000032,NHS Kent and Medway Integrated Care Board - QKS,ICBs,Male,All ages,,,2011 - 13,63.4,62.3,64.5,,,,,,,Similar,Not compared,20110000,,,3y
90362,Healthy life expectancy at birth,E92000001,England,E54000034,NHS Frimley Integrated Care Board - QNQ,ICBs,Male,All ages,,,2011 - 13,66.1,64.9,67.3,,,,,,,Better,Not compared,20110000,,,3y
90362,Healthy life expectancy at birth,E92000001,England,E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board - QT6,ICBs,Male,All ages,,,2011 - 13,62.7,60.6,64.7,,,,,,,Similar,Not compared,20110000,,,3y
90362,Healthy life expectancy at birth,E92000001,England,E54000037,NHS Devon Integrated Care Board - QJK,ICBs,Male,All ages,,,2011 - 13,64.5,63.3,65.6,,,,,,,Better,Not compared,20110000,,,3y
90362,Healthy life expectancy at birth,E92000001,England,E54000038,NHS Somerset Integrated Care Board - QSL,ICBs,Male,All ages,,,2011 - 13,66.8,64.9,68.7,,,,,,,Better,Not compared,20110000,,,3y
90362,Healthy life expectancy at birth,E92000001,England,E54000039,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board - QUY",ICBs,Male,All ages,,,2011 - 13,64.5,63.2,65.8,,,,,,,Better,Not compared,20110000,,,3y
