date,id,name,y_items,y_actual_cost,x_items,x_actual_cost
2021-07-01,QOC,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",235095,1200959.06,0,0
2021-07-01,QSL,"NHS SOMERSET INTEGRATED CARE BOARD",291371,1577630.13,0,0
2021-07-01,QR1,"NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD",342920,1609383.35,0,0
2021-07-01,QT6,"NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD",359275,1638300.78,0,0
2021-07-01,QGH,"NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD",380814,2063859.6,0,0
2021-07-01,QUY,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",390996,2087278.77,0,0
2021-07-01,QVV,"NHS DORSET INTEGRATED CARE BOARD",401588,2240917.15,0,0
2021-07-01,QPM,"NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD",446194,1660798.27,0,0
2021-07-01,QOX,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",472746,2286172.16,0,0
2021-07-01,QWU,"NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD",488344,2014122.53,0,0
2021-07-01,QJ2,"NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD",505104,2547567.59,0,0
2021-07-01,QHL,"NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD",524010,2647791.7,0,0
2021-07-01,QK1,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",567359,2399190.48,0,0
2021-07-01,QUA,"NHS BLACK COUNTRY INTEGRATED CARE BOARD",571960,2912729.57,0,0
2021-07-01,QT1,"NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD",585471,2565052.2,0,0
2021-07-01,QKK,"NHS SOUTH EAST LONDON INTEGRATED CARE BOARD",587364,2692751.98,0,0
2021-07-01,QWE,"NHS SOUTH WEST LONDON INTEGRATED CARE BOARD",589112,2348697.14,0,0
2021-07-01,QJM,"NHS LINCOLNSHIRE INTEGRATED CARE BOARD",601896,2344740.51,0,0
2021-07-01,QNC,"NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD",634244,3096829.14,0,0
2021-07-01,QJK,"NHS DEVON INTEGRATED CARE BOARD",656524,3167956.59,0,0
2021-07-01,QMF,"NHS NORTH EAST LONDON INTEGRATED CARE BOARD",810356,2823549.65,0,0
2021-07-01,QRL,"NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD",824323,4827763.15,0,0
