date,id,name,y_items,y_actual_cost,x_items,x_actual_cost
2021-07-01,QOC,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",40174,920692.62,0,0
2021-07-01,QSL,"NHS SOMERSET INTEGRATED CARE BOARD",44411,927659.39,0,0
2021-07-01,QR1,"NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD",51596,1021623.99,0,0
2021-07-01,QT6,"NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD",51922,964632.71,0,0
2021-07-01,QGH,"NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD",60102,1343362.98,0,0
2021-07-01,QVV,"NHS DORSET INTEGRATED CARE BOARD",61654,1462418.91,0,0
2021-07-01,QUY,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",68579,1539887.86,0,0
2021-07-01,QPM,"NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD",72402,1252795.93,0,0
2021-07-01,QOX,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",78507,1467294.84,0,0
2021-07-01,QJ2,"NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD",84222,1623723.78,0,0
2021-07-01,QWU,"NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD",88674,1744941.59,0,0
2021-07-01,QJM,"NHS LINCOLNSHIRE INTEGRATED CARE BOARD",94315,1624505.22,0,0
2021-07-01,QJK,"NHS DEVON INTEGRATED CARE BOARD",96438,1847416.46,0,0
2021-07-01,QT1,"NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD",102830,1847919.3,0,0
2021-07-01,QNC,"NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD",112299,2143787.36,0,0
2021-07-01,QK1,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",115150,2133884.64,0,0
2021-07-01,QWE,"NHS SOUTH WEST LONDON INTEGRATED CARE BOARD",122827,2128049.55,0,0
2021-07-01,QUA,"NHS BLACK COUNTRY INTEGRATED CARE BOARD",125170,2692373.08,0,0
2021-07-01,QHL,"NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD",130174,2910694.94,0,0
2021-07-01,QKK,"NHS SOUTH EAST LONDON INTEGRATED CARE BOARD",134604,2616522.48,0,0
2021-07-01,QRL,"NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD",144263,3688422.41,0,0
2021-07-01,QF7,"NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD",152739,2790695.53,0,0
2021-07-01,S0E4D,"NHS THAMES VALLEY INTEGRATED CARE BOARD",154836,3117338.07,0,0
2021-07-01,QKS,"NHS KENT AND MEDWAY INTEGRATED CARE BOARD",156027,3472221.05,0,0
2021-07-01,QOQ,"NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD",160304,3086374.19,0,0
2021-07-01,T6Y0W,"NHS NORFOLK AND SUFFOLK INTEGRATED CARE BOARD",160561,2906786.93,0,0
2021-07-01,QE1,"NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD",162039,2971916.81,0,0
2021-07-01,D7T5G,"NHS ESSEX INTEGRATED CARE BOARD",164727,3340824.23,0,0
2021-07-01,S9B9J,"NHS SURREY AND SUSSEX INTEGRATED CARE BOARD",194646,4638674.74,0,0
